atm_id,date,total_withdrawals,total_deposits,cash_demand_next_day
ATM_0001,2022-01-05,37573,6224,31478
ATM_0001,2022-01-13,48156,10070,41613
ATM_0001,2022-01-20,24671,13922,11316
ATM_0001,2022-01-28,46383,12205,34587
ATM_0001,2022-02-01,41972,18452,23665
ATM_0001,2022-02-24,57436,13221,40364
ATM_0001,2022-02-27,51743,4702,38910
ATM_0001,2022-03-05,125253,21486,126530
ATM_0001,2022-03-08,54368,8182,63865
ATM_0001,2022-03-17,40466,11041,28441
ATM_0001,2022-03-18,70415,15914,54469
ATM_0001,2022-04-06,38826,6037,37733
ATM_0001,2022-04-11,44099,6187,33879
ATM_0001,2022-04-12,58494,7427,44974
ATM_0001,2022-04-25,82159,13169,83492
ATM_0001,2022-04-26,49580,15346,45705
ATM_0001,2022-05-02,40242,16249,21415
ATM_0001,2022-05-05,38066,12121,27375
ATM_0001,2022-05-12,46816,5327,43740
ATM_0001,2022-05-15,61600,7883,59121
ATM_0001,2022-05-17,55730,7969,58964
ATM_0001,2022-05-21,61739,4523,66160
ATM_0001,2022-05-24,46420,4887,39954
ATM_0001,2022-05-27,74484,16544,68055
ATM_0001,2022-06-02,62416,14011,51361
ATM_0001,2022-06-03,24913,14132,14034
ATM_0001,2022-06-11,40642,8615,31564
ATM_0001,2022-06-15,54773,8357,43501
ATM_0001,2022-06-17,58877,10509,48091
ATM_0001,2022-06-19,61802,12952,45472
ATM_0001,2022-06-30,32070,1586,26179
ATM_0001,2022-07-09,37211,13049,32877
ATM_0001,2022-07-13,46492,7618,44577
ATM_0001,2022-07-14,62850,18980,58911
ATM_0001,2022-07-16,25717,6723,18027
ATM_0001,2022-07-28,95602,20908,74105
ATM_0001,2022-08-03,70375,15317,64346
ATM_0001,2022-08-19,34984,15165,17238
ATM_0001,2022-09-07,49180,9217,44319
ATM_0001,2022-09-15,61621,8158,58362
ATM_0001,2022-09-23,63451,12111,42919
ATM_0001,2022-09-29,35543,5214,25434
ATM_0001,2022-10-06,66680,7242,70234
ATM_0001,2022-10-16,147350,32408,138818
ATM_0001,2022-10-20,17268,6825,10896
ATM_0001,2022-10-31,40124,7027,37410
ATM_0001,2022-11-04,67891,3710,77560
ATM_0001,2022-11-06,174972,34373,149734
ATM_0001,2022-11-08,62381,14067,44558
ATM_0001,2022-11-12,53362,7740,45094
ATM_0001,2022-11-19,39222,13917,37152
ATM_0001,2022-11-23,100154,17798,83772
ATM_0001,2022-11-28,39786,12758,29725
ATM_0001,2022-11-30,107481,8317,91990
ATM_0001,2022-12-16,37620,7757,32791
ATM_0001,2023-01-02,42157,3277,36700
ATM_0001,2023-01-19,67942,6933,50053
ATM_0001,2023-01-25,33527,7755,36170
ATM_0001,2023-02-02,52708,12983,41422
ATM_0001,2023-02-07,70166,10717,61895
ATM_0001,2023-02-28,76188,13435,56434
ATM_0001,2023-03-04,55553,12921,45043
ATM_0001,2023-03-05,42126,12858,33763
ATM_0001,2023-03-10,35927,11785,29107
ATM_0001,2023-03-17,51978,7727,40760
ATM_0001,2023-03-29,51231,6098,52033
ATM_0001,2023-04-10,39289,15892,32267
ATM_0001,2023-04-11,51888,12533,38975
ATM_0001,2023-04-23,27002,1292,24423
ATM_0001,2023-04-27,25922,5440,21011
ATM_0001,2023-04-28,41421,14076,33349
ATM_0001,2023-05-03,22012,10142,15662
ATM_0001,2023-05-29,51280,1524,56182
ATM_0001,2023-06-01,50003,10827,46385
ATM_0001,2023-06-02,57329,9961,44997
ATM_0001,2023-06-14,61362,8624,58361
ATM_0001,2023-06-22,55033,0,48968
ATM_0001,2023-06-23,62290,12119,54203
ATM_0001,2023-07-01,71804,1999,80647
ATM_0001,2023-07-03,100115,18367,86944
ATM_0001,2023-07-05,67820,5187,70814
