atm_id,refill_date
ATM_0001,2022-01-05
ATM_0001,2022-01-13
ATM_0001,2022-01-20
ATM_0001,2022-01-28
ATM_0001,2022-02-01
ATM_0001,2022-02-24
ATM_0001,2022-02-27
ATM_0001,2022-03-05
ATM_0001,2022-03-08
ATM_0001,2022-03-17
ATM_0001,2022-03-18
ATM_0001,2022-04-06
ATM_0001,2022-04-11
ATM_0001,2022-04-12
ATM_0001,2022-04-25
ATM_0001,2022-04-26
ATM_0001,2022-05-02
ATM_0001,2022-05-05
ATM_0001,2022-05-12
ATM_0001,2022-05-15
ATM_0001,2022-05-17
ATM_0001,2022-05-21
ATM_0001,2022-05-24
ATM_0001,2022-05-27
ATM_0001,2022-06-02
ATM_0001,2022-06-03
ATM_0001,2022-06-11
ATM_0001,2022-06-15
ATM_0001,2022-06-17
ATM_0001,2022-06-19
ATM_0001,2022-06-30
ATM_0001,2022-07-09
ATM_0001,2022-07-13
ATM_0001,2022-07-14
ATM_0001,2022-07-16
ATM_0001,2022-07-28
ATM_0001,2022-08-03
ATM_0001,2022-08-19
ATM_0001,2022-09-07
ATM_0001,2022-09-15
ATM_0001,2022-09-23
ATM_0001,2022-09-29
ATM_0001,2022-10-06
ATM_0001,2022-10-16
ATM_0001,2022-10-20
ATM_0001,2022-10-31
ATM_0001,2022-11-04
ATM_0001,2022-11-06
ATM_0001,2022-11-08
ATM_0001,2022-11-12
ATM_0001,2022-11-19
ATM_0001,2022-11-23
ATM_0001,2022-11-28
ATM_0001,2022-11-30
ATM_0001,2022-12-16
ATM_0001,2023-01-02
ATM_0001,2023-01-19
ATM_0001,2023-01-25
ATM_0001,2023-02-02
ATM_0001,2023-02-07
ATM_0001,2023-02-28
ATM_0001,2023-03-04
ATM_0001,2023-03-05
ATM_0001,2023-03-10
ATM_0001,2023-03-17
ATM_0001,2023-03-29
ATM_0001,2023-04-10
ATM_0001,2023-04-11
ATM_0001,2023-04-23
ATM_0001,2023-04-27
ATM_0001,2023-04-28
ATM_0001,2023-05-03
ATM_0001,2023-05-29
ATM_0001,2023-06-01
ATM_0001,2023-06-02
ATM_0001,2023-06-14
ATM_0001,2023-06-22
ATM_0001,2023-06-23
ATM_0001,2023-07-01
ATM_0001,2023-07-03
ATM_0001,2023-07-05
ATM_0001,2023-07-07
ATM_0001,2023-07-11
ATM_0001,2023-07-14
ATM_0001,2023-07-28
ATM_0001,2023-08-03
ATM_0001,2023-08-10
ATM_0001,2023-08-14
ATM_0001,2023-08-21
ATM_0001,2023-08-25
ATM_0001,2023-09-12
ATM_0001,2023-09-14
ATM_0001,2023-09-15
ATM_0001,2023-09-20
ATM_0001,2023-09-24
ATM_0001,2023-10-04
ATM_0001,2023-10-05
ATM_0001,2023-10-13
ATM_0001,2023-10-15
ATM_0001,2023-10-28
ATM_0001,2023-11-07
ATM_0001,2023-11-08
ATM_0001,2023-11-12
ATM_0001,2023-11-18
ATM_0001,2023-11-22
ATM_0001,2023-11-29
ATM_0001,2023-11-30
ATM_0001,2023-12-06
ATM_0001,2023-12-10
ATM_0001,2023-12-13
ATM_0001,2023-12-16
ATM_0002,2022-01-05
ATM_0002,2022-01-14
ATM_0002,2022-01-17
ATM_0002,2022-01-19
ATM_0002,2022-02-03
ATM_0002,2022-02-19
ATM_0002,2022-03-18
ATM_0002,2022-03-27
ATM_0002,2022-04-01
ATM_0002,2022-04-13
ATM_0002,2022-04-19
ATM_0002,2022-04-20
ATM_0002,2022-04-27
ATM_0002,2022-04-28
ATM_0002,2022-05-02
ATM_0002,2022-05-18
ATM_0002,2022-05-24
ATM_0002,2022-06-01
ATM_0002,2022-06-14
ATM_0002,2022-06-15
ATM_0002,2022-06-22
ATM_0002,2022-06-24
ATM_0002,2022-07-03
ATM_0002,2022-07-04
ATM_0002,2022-07-22
ATM_0002,2022-07-28
ATM_0002,2022-08-01
ATM_0002,2022-08-14
ATM_0002,2022-08-31
ATM_0002,2022-09-07
ATM_0002,2022-09-12
ATM_0002,2022-09-15
ATM_0002,2022-09-17
